market_bucket,weather_bucket,period_flag,flights_total,cancelled_count,operated_count,controllable_cancel_count,controllable_delay_count,late_arriving_delay_count,controllable_severe_delay_count,late_arriving_severe_delay_count,controllable_cancel_rate,controllable_delay_rate,controllable_severe_delay_rate,late_arriving_severe_delay_rate,low_confidence_flag
aa_regional_basket,adverse,baseline,610,50,553,1,37,52,27,35,0.0016,0.0669,0.0488,0.0633,0
aa_regional_basket,adverse,recent,720,84,630,1,38,85,26,57,0.0014,0.0603,0.0413,0.0905,0
aa_regional_basket,benign,baseline,7079,102,6973,8,364,610,163,253,0.0011,0.0522,0.0234,0.0363,0
aa_regional_basket,benign,recent,7504,203,7293,21,469,686,208,316,0.0028,0.0643,0.0285,0.0433,0
aa_regional_basket,marginal,baseline,1109,55,1050,4,69,86,34,46,0.0036,0.0657,0.0324,0.0438,0
aa_regional_basket,marginal,recent,1009,76,930,2,54,111,27,49,0.002,0.0581,0.029,0.0527,0
aa_regional_basket,unknown,recent,23,0,23,0,0,2,0,1,0.0,0.0,0.0,0.0435,1
dl_peer_basket,adverse,baseline,438,13,420,7,27,42,15,25,0.016,0.0643,0.0357,0.0595,0
dl_peer_basket,adverse,recent,311,12,293,3,34,17,12,10,0.0096,0.116,0.041,0.0341,0
dl_peer_basket,benign,baseline,4031,38,3991,27,149,169,80,66,0.0067,0.0373,0.02,0.0165,0
dl_peer_basket,benign,recent,2868,43,2821,9,219,109,124,40,0.0031,0.0776,0.044,0.0142,0
dl_peer_basket,marginal,baseline,694,19,671,5,38,38,21,19,0.0072,0.0566,0.0313,0.0283,0
dl_peer_basket,marginal,recent,543,14,527,4,53,25,22,13,0.0074,0.1006,0.0417,0.0247,0
dl_peer_basket,unknown,recent,7,0,7,0,0,0,0,0,0.0,0.0,0.0,0.0,1
ua_peer_basket,adverse,baseline,32,2,30,0,5,3,3,3,0.0,0.1667,0.1,0.1,1
ua_peer_basket,adverse,recent,172,11,161,0,30,11,13,7,0.0,0.1863,0.0807,0.0435,0
ua_peer_basket,benign,baseline,325,4,321,0,31,14,12,9,0.0,0.0966,0.0374,0.028,0
ua_peer_basket,benign,recent,1580,16,1564,0,177,84,62,41,0.0,0.1132,0.0396,0.0262,0
ua_peer_basket,marginal,baseline,69,2,64,0,10,3,6,3,0.0,0.1562,0.0938,0.0469,0
ua_peer_basket,marginal,recent,206,7,199,0,29,15,16,10,0.0,0.1457,0.0804,0.0503,0
ua_peer_basket,unknown,recent,3,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,1
combined_peer_basket,adverse,baseline,470,15,450,7,32,45,18,28,0.0149,0.0711,0.04,0.0622,0
combined_peer_basket,adverse,recent,483,23,454,3,64,28,25,17,0.0062,0.141,0.0551,0.0374,0
combined_peer_basket,benign,baseline,4356,42,4312,27,180,183,92,75,0.0062,0.0417,0.0213,0.0174,0
combined_peer_basket,benign,recent,4448,59,4385,9,396,193,186,81,0.002,0.0903,0.0424,0.0185,0
combined_peer_basket,marginal,baseline,763,21,735,5,48,41,27,22,0.0066,0.0653,0.0367,0.0299,0
combined_peer_basket,marginal,recent,749,21,726,4,82,40,38,23,0.0053,0.1129,0.0523,0.0317,0
combined_peer_basket,unknown,recent,10,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,1
